Cutting speed,Feed rate,Tool nose radius,Depth of cut,Tool material,Workpiece material,Machining time,Spindle speed,Coolant use,Operator ID,Roughness
208.35,0.317,0.92,0.68,Carbide,Brass,564.56,1131,1,OP015,889.2280572
267.87,0.311,0.52,2.64,Carbide,Brass,415.97,2142,0,OP001,169.6536101
250.92,0.091,0.75,2.24,HSS,Aluminum,97.84,996,0,OP007,923.2240973
96.64,0.445,0.89,0.14,HSS,Steel,69.29,860,0,OP001,1380.571429
273.14,0.17,0.47,0.82,Carbide,Aluminum,305.62,2999,1,OP017,920.9167862
184.84,0.108,1.11,0.72,Carbide,Brass,155.45,2056,1,OP009,2638.533951
251.86,0.45,1.04,0.89,Carbide,Steel,174.77,1577,0,OP013,654.0184769
274.02,0.48,0.8,0.82,HSS,Steel,530.28,1220,0,OP011,556.9512195
129.5,0.438,1.17,0.28,HSS,Steel,81.05,2010,1,OP020,1235.445205
77.51,0.414,0.73,1.43,Ceramic,Brass,437.76,624,1,OP006,95.57498057
106.98,0.345,1.19,2.22,Carbide,Steel,184.55,737,0,OP001,166.217783
156.78,0.298,0.93,1.86,HSS,Steel,463.39,582,1,OP007,263.0536913
254.5,0.089,0.91,2.05,Carbide,Aluminum,441.77,1748,0,OP012,1269.361469
265.18,0.234,0.53,0.34,HSS,Aluminum,34.21,2002,0,OP020,1766.533434
51.74,0.218,1.11,2.86,Carbide,Steel,320.21,656,1,OP019,92.11426188
177.69,0.167,0.74,2.53,HSS,Steel,109.41,2303,1,OP017,311.212989
154.35,0.376,0.53,2.43,Ceramic,Aluminum,523.75,1076,1,OP004,89.53408195
105.53,0.273,0.41,2.49,Ceramic,Aluminum,526.8,2213,0,OP003,63.649911
79.97,0.086,0.85,2.8,Carbide,Aluminum,268.46,2955,1,OP001,282.2861296
134.4,0.149,0.82,1.68,HSS,Brass,283.31,2228,1,OP018,440.2684564
285.73,0.357,0.98,0.68,HSS,Brass,202.87,2708,0,OP015,1153.465975
130.8,0.084,1.11,1.89,Carbide,Aluminum,438.47,2870,0,OP008,914.5124717
179.7,0.433,0.46,2.25,HSS,Steel,234.44,1717,1,OP001,84.84680523
225.75,0.273,0.99,2.24,Carbide,Aluminum,182.64,2256,0,OP020,365.470467
140.91,0.266,0.55,1.61,HSS,Brass,276.37,2630,0,OP014,180.966002
292.95,0.317,1.09,0.3,Carbide,Steel,82.15,1392,0,OP004,3357.681388
290.61,0.421,1.06,1.18,HSS,Brass,455.56,1153,1,OP005,620.0865574
112.95,0.207,0.83,2.77,Carbide,Steel,37.18,2866,1,OP013,163.4986658
174.31,0.355,0.97,1.79,HSS,Brass,397.36,2316,0,OP015,266.0802581
125.22,0.305,0.65,1.66,Ceramic,Steel,134.23,1049,0,OP006,160.7604187
121.21,0.17,0.78,0.88,HSS,Steel,162.47,1623,0,OP001,631.9772727
59.22,0.445,1.06,1.17,Carbide,Steel,392.31,2491,1,OP019,120.5669836
202.39,0.409,0.77,2.7,Ceramic,Steel,595.98,1868,0,OP013,141.1213438
175.67,0.346,0.69,2.03,HSS,Brass,473.3,2125,0,OP006,172.5736781
62.87,0.433,0.8,2.38,Ceramic,Brass,158.73,2384,1,OP015,48.80548062
119.66,0.44,1.06,1.42,HSS,Steel,130.33,2055,0,OP016,203.0083227
277.07,0.369,0.67,1.93,Ceramic,Steel,523.75,1850,1,OP016,260.663746
109.89,0.427,0.54,0.82,Carbide,Brass,283.18,2374,1,OP010,169.4767807
86.22,0.364,0.97,2.15,HSS,Steel,108.12,2319,1,OP009,106.8660874
172.36,0.356,1.06,1.34,HSS,Steel,521.46,2075,0,OP009,382.9901057
296.41,0.328,0.48,1.38,Carbide,Steel,495.17,1399,0,OP017,314.3266172
110.51,0.389,0.59,1.98,Ceramic,Aluminum,590.83,1515,1,OP017,84.65230713
218.03,0.121,0.51,2.82,Carbide,Steel,548.55,2926,0,OP017,325.8756814
240.4,0.446,0.68,0.29,Carbide,Aluminum,515.52,781,1,OP012,1263.893614
109.41,0.442,0.76,2.49,Ceramic,Steel,59.97,1171,0,OP013,75.55252685
232.05,0.063,1,0.95,Carbide,Brass,89.52,1731,1,OP012,3877.192982
141.95,0.422,0.92,1.39,HSS,Aluminum,354.32,2592,1,OP014,222.6362985
208.08,0.108,0.9,0.16,HSS,Aluminum,332.94,909,0,OP010,10837.5
208.38,0.201,0.68,0.97,HSS,Steel,291.04,1192,0,OP019,726.7702723
183.94,0.385,1.07,1.56,Carbide,Steel,256.17,664,0,OP002,327.6986347
72.57,0.122,0.78,0.26,HSS,Aluminum,275.79,2265,0,OP004,1784.508197
258.83,0.418,1.18,1.52,HSS,Brass,354.5,1096,1,OP019,480.7029086
130.2,0.424,0.91,2.79,HSS,Brass,31.18,1472,1,OP007,100.1572327
96.63,0.278,0.5,0.41,HSS,Steel,178.6,1609,0,OP015,423.8901562
60.19,0.053,0.94,2.32,HSS,Brass,325.42,2728,0,OP015,460.1382563
197.72,0.179,0.66,1.29,HSS,Brass,441.66,1528,1,OP006,565.134468
219.39,0.328,0.95,2,Carbide,Steel,129.27,863,0,OP003,317.7141768
54.15,0.492,0.46,0.85,HSS,Brass,341.72,1811,0,OP006,59.56241033
178.02,0.334,0.54,0.56,HSS,Steel,437.24,2907,0,OP016,513.9585115
106.62,0.167,1.08,0.57,Ceramic,Aluminum,283.44,2019,0,OP002,1209.681689
211.29,0.335,0.58,0.3,Carbide,Steel,45.44,2958,1,OP007,1219.385075
93.59,0.293,1.07,0.64,Carbide,Aluminum,286.08,2603,1,OP011,534.0299701
222.73,0.401,0.62,2.03,Carbide,Aluminum,198.97,590,0,OP007,169.6406766
146.68,0.098,0.91,2.66,Carbide,Brass,559.9,2146,1,OP004,512.0408163
284.18,0.392,0.96,2.46,HSS,Brass,101.03,1217,0,OP020,282.9069189
84.38,0.294,0.81,2.09,HSS,Brass,401.91,1899,0,OP007,111.2323015
135.27,0.483,0.64,0.42,Ceramic,Steel,60.05,1198,0,OP004,426.7613132
78.37,0.204,0.57,0.94,Ceramic,Brass,284.32,1372,1,OP012,232.9521277
281.17,0.335,0.43,1,Carbide,Aluminum,345.77,2808,1,OP005,360.9047761
269.33,0.469,0.64,0.82,Ceramic,Brass,199.83,1017,1,OP019,448.206355
114.49,0.096,0.92,1.59,Ceramic,Brass,289.39,2685,1,OP005,690.0602725
215,0.472,1.15,1.65,Carbide,Steel,123.23,576,1,OP019,317.4756035
254.31,0.36,1.1,1.13,Carbide,Steel,203.35,727,0,OP003,687.6622419
188.8,0.081,1.01,1.13,Ceramic,Aluminum,384.03,2637,0,OP011,2083.338796
182.41,0.185,1.03,2.5,HSS,Steel,202.03,2076,1,OP007,406.232
110.46,0.369,0.93,2.39,Ceramic,Brass,542.85,2368,1,OP017,116.4833146
73.28,0.08,0.61,0.99,Ceramic,Steel,388.19,1024,1,OP009,564.4040404
274.3,0.312,1.13,2.75,HSS,Aluminum,280.03,1843,0,OP009,361.2575758
275.1,0.206,0.94,2.86,HSS,Brass,52.09,2343,1,OP010,438.919818
208.28,0.329,0.85,1.05,Carbide,Aluminum,314.74,2068,0,OP013,512.4851643
134.76,0.071,0.49,1.13,Carbide,Steel,465.92,1679,0,OP015,823.0387636
137.3,0.442,0.76,1.57,Ceramic,Steel,181.37,2899,1,OP005,150.370349
231.49,0.488,0.77,2.83,HSS,Aluminum,489.86,2190,0,OP003,129.0674419
274.28,0.486,1.09,2.64,Carbide,Brass,173.53,2769,0,OP008,233.0131563
271.77,0.387,0.84,0.4,Ceramic,Steel,499.54,2324,1,OP020,1474.72093
244.97,0.109,0.7,1.24,HSS,Steel,78.6,2339,0,OP010,1268.711157
210.51,0.391,1.18,1.7,Ceramic,Brass,523.72,700,1,OP013,373.7051301
71.03,0.061,0.49,1.56,Carbide,Steel,314.54,1399,0,OP003,365.7492644
90.41,0.06,0.74,0.66,Carbide,Aluminum,199.03,2646,1,OP008,1689.479798
274.64,0.196,0.43,2.59,HSS,Steel,181.11,1082,1,OP009,232.6357261
201.61,0.27,0.99,2.06,Ceramic,Steel,276.25,789,0,OP012,358.8527508
52.3,0.397,1.13,2.53,HSS,Brass,599.46,1315,1,OP011,58.83951773
75.37,0.357,0.62,2.59,Carbide,Aluminum,155.59,1051,0,OP002,50.53848566
215.88,0.251,1.09,2.27,Carbide,Brass,88.83,2813,0,OP018,412.9898029
51.27,0.173,0.63,1.37,Ceramic,Steel,363.47,2670,1,OP009,136.2815915
90.2,0.499,1.13,1.87,Ceramic,Steel,308.47,1749,0,OP002,109.2302252
187.18,0.242,1,0.57,Ceramic,Brass,328.79,653,1,OP002,1356.966797
222.97,0.253,1.04,2.05,HSS,Brass,410.15,2286,0,OP003,447.1007423
212.99,0.124,0.41,0.62,Ceramic,Brass,182.27,2059,0,OP016,1135.872789
106.07,0.408,1.17,2.11,Ceramic,Aluminum,549.08,2926,1,OP019,144.1570254
228.04,0.362,0.98,0.77,Carbide,Steel,278.33,1897,0,OP004,801.7478654
109.31,0.149,0.64,0.44,Carbide,Brass,103.58,1341,0,OP018,1067.089689
131.35,0.087,1.06,0.58,Ceramic,Steel,453.11,1798,0,OP020,2759.235038
236.62,0.356,0.63,0.11,Ceramic,Aluminum,396.57,2948,0,OP018,3806.705822
212.41,0.345,1.1,2.18,Carbide,Aluminum,209.97,2241,0,OP010,310.6648052
262.31,0.173,0.49,2.22,Ceramic,Aluminum,384.27,2180,0,OP011,334.666198
214.4,0.478,0.96,1.59,HSS,Aluminum,155.32,1102,0,OP017,270.8139259
192.08,0.118,0.83,0.57,HSS,Steel,283.56,2359,0,OP020,2370.300327
73.42,0.245,0.48,0.34,HSS,Aluminum,542.67,2376,1,OP016,423.0684274
141.93,0.475,0.59,0.16,Ceramic,Aluminum,106.11,1293,0,OP020,1101.825
116.3,0.239,0.41,0.58,Carbide,Brass,250.42,1709,0,OP013,343.9835522
111,0.337,0.78,2.68,Ceramic,Aluminum,498.05,1237,1,OP002,95.86341291
293.25,0.229,0.64,0.8,Ceramic,Brass,582.61,1147,1,OP002,1024.454148
148.27,0.173,0.88,1.13,Carbide,Aluminum,288.74,565,1,OP014,667.4387437
273.01,0.493,0.64,0.41,Carbide,Aluminum,318.99,1213,0,OP004,864.4258645
207.78,0.234,0.64,0.74,Carbide,Brass,356.14,1885,1,OP017,767.955648
248.7,0.452,0.99,1.61,HSS,Aluminum,561.44,504,1,OP013,338.3347991
175.66,0.153,0.44,1.86,Ceramic,Steel,519.18,1208,0,OP004,271.5946307
194.23,0.146,1.12,0.81,Carbide,Steel,127.24,2704,0,OP003,1839.485879
173.13,0.064,1.08,0.27,Ceramic,Aluminum,278.95,1984,1,OP012,10820.625
98.81,0.343,0.93,1.23,HSS,Steel,294.48,2020,1,OP008,217.8134111
230.61,0.216,0.87,0.78,HSS,Brass,479.78,1508,0,OP002,1190.827991
120.19,0.439,1.11,0.74,Carbide,Aluminum,373.65,2191,0,OP006,410.6719818
56.08,0.263,0.55,2.88,Carbide,Aluminum,402.91,975,0,OP010,40.72137727
211.37,0.486,0.46,1.89,Ceramic,Brass,598.97,2547,0,OP012,105.8529841
94.28,0.133,0.59,1.71,Carbide,Brass,72.73,792,0,OP010,244.5816295
285.11,0.441,1.04,1.31,Ceramic,Brass,157.12,2140,1,OP010,513.2582091
288.48,0.399,0.43,1.34,Carbide,Aluminum,262.5,1353,0,OP003,232.0098754
278.72,0.397,0.87,1.67,Ceramic,Brass,228.24,2369,0,OP020,365.746693
142.54,0.43,1.2,2.12,Ceramic,Brass,42.34,1874,0,OP010,187.6349276
53.86,0.392,1.08,2.14,Ceramic,Steel,82.31,1631,0,OP009,69.34102613
282.08,0.332,0.82,0.6,Ceramic,Steel,418.14,924,0,OP020,1161.172691
157.05,0.109,0.45,1.55,HSS,Aluminum,531.21,2092,1,OP019,418.304232
291.66,0.065,1.07,1.29,Ceramic,Steel,323.11,2937,0,OP014,3721.838998
290.9,0.464,0.88,2.62,Carbide,Steel,337.34,2564,1,OP002,210.5751514
263.25,0.327,0.49,1.93,HSS,Brass,175.4,650,0,OP005,204.3898845
123.61,0.408,0.48,1.64,HSS,Brass,467.69,1441,1,OP020,88.67288379
146.27,0.267,1.13,0.43,Ceramic,Steel,458.52,2814,1,OP008,1439.640275
262.78,0.103,0.94,1.86,HSS,Steel,365.37,1758,0,OP007,1289.347531
129.23,0.106,1.06,0.44,Ceramic,Steel,151.22,2155,0,OP006,2937.045455
92.37,0.359,1.1,1.08,Carbide,Aluminum,85.3,2781,0,OP011,262.0628288
189.2,0.244,0.86,0.51,Ceramic,Aluminum,66.62,2684,0,OP012,1307.553841
284.04,0.14,0.81,2.11,HSS,Aluminum,367.84,1755,0,OP018,778.8503724
224.01,0.271,0.74,0.7,Carbide,Steel,500.27,1594,1,OP019,873.839747
192.52,0.079,0.65,1.24,Ceramic,Steel,519.25,1349,0,OP010,1277.439771
74.29,0.312,0.75,2.7,Carbide,Aluminum,294.26,2298,0,OP014,66.14138177
203.75,0.171,1.02,0.69,Carbide,Aluminum,477.03,1217,1,OP003,1761.378083
297.51,0.409,0.88,1.57,HSS,Steel,569.72,1125,0,OP018,407.7193092
85.02,0.19,1.11,1.32,Carbide,Brass,186.85,1391,1,OP015,376.284689
179.58,0.255,0.75,0.15,HSS,Aluminum,256.84,943,0,OP006,3521.176471
269.34,0.055,0.89,2.4,Carbide,Steel,560.94,2238,1,OP010,1816.004545
235.19,0.083,0.91,0.3,Ceramic,Steel,222.79,2041,0,OP012,8595.297189
224.25,0.227,0.87,1.48,Carbide,Brass,550.91,1707,1,OP007,580.7164543
225.62,0.266,0.96,1.73,Ceramic,Steel,589.2,1476,1,OP017,470.6749533
139.87,0.32,0.59,1.92,Ceramic,Steel,407.23,2773,0,OP001,134.3152669
123.4,0.181,0.81,2.1,Carbide,Aluminum,495.63,573,0,OP018,262.9676401
252.34,0.363,0.48,0.83,Ceramic,Aluminum,457.24,2423,0,OP015,402.0153341
252.53,0.437,0.71,0.13,Carbide,Brass,428.73,2755,1,OP019,3156.069354
266.77,0.401,0.79,2.2,Carbide,Brass,204.95,1616,1,OP001,238.8894808
278.31,0.068,0.92,1.65,Ceramic,Steel,62.54,1877,1,OP005,2282.042781
177.84,0.266,1.16,2.52,Ceramic,Aluminum,225.54,2861,0,OP015,307.755102
175.38,0.097,0.88,2.48,HSS,Brass,410.15,1031,0,OP003,641.5630196
249.57,0.159,0.99,2.55,Ceramic,Brass,88.44,1800,1,OP001,609.3829079
212.49,0.494,0.81,1.51,HSS,Brass,36.79,1687,0,OP008,230.7382631
225.49,0.114,0.91,1.07,Ceramic,Steel,109.62,1146,1,OP012,1682.209379
248.95,0.274,0.46,2.4,Carbide,Aluminum,437.97,2546,0,OP019,174.1438564
272.5,0.328,0.6,1.41,Ceramic,Brass,584.49,2749,0,OP012,353.5288012
134.5,0.366,0.69,0.63,Carbide,Aluminum,590.35,2455,1,OP013,402.4850377
143.9,0.302,0.78,2.58,Carbide,Brass,311.57,988,0,OP001,144.0551363
73.5,0.054,0.44,2.66,Carbide,Brass,525.53,717,0,OP019,225.1461988
194.57,0.197,0.51,1.45,HSS,Aluminum,449.99,2014,0,OP006,347.3856118
58.99,0.283,0.62,0.32,Ceramic,Aluminum,315.59,643,0,OP008,403.8626325
166.4,0.09,1.18,1.22,Carbide,Aluminum,356.47,2182,0,OP004,1788.269581
185.66,0.208,0.67,2.43,Carbide,Steel,108.22,1826,1,OP005,246.1067585
121.64,0.065,0.79,2.72,HSS,Brass,564.47,2157,0,OP007,543.5271493
197.71,0.085,0.56,0.69,Ceramic,Steel,230.6,1975,1,OP004,1887.768116
57.63,0.229,0.89,0.29,Ceramic,Aluminum,284.31,1557,0,OP020,772.3339858
59.34,0.11,0.62,2.64,HSS,Brass,412.85,1002,0,OP004,126.6900826
255.65,0.305,0.57,1.23,HSS,Steel,220.32,1264,1,OP015,388.4326269
140.05,0.36,0.81,1.67,Ceramic,Brass,174.93,1811,1,OP005,188.6901198
81.77,0.41,0.4,2.91,HSS,Steel,389.7,2130,0,OP009,27.41429889
180.56,0.14,0.41,0.29,Ceramic,Aluminum,44.24,2449,0,OP002,1823.389163
242.5,0.125,0.58,1.98,Ceramic,Steel,440.81,2418,1,OP007,568.2828283
103.96,0.097,0.43,0.31,Carbide,Brass,322.99,2932,1,OP017,1486.624543
205.72,0.336,0.49,1.19,Carbide,Brass,375.28,1215,1,OP016,252.1078431
71.34,0.368,0.67,2.43,Ceramic,Brass,390.17,678,1,OP017,53.45075148
62.92,0.064,1.04,1.36,Ceramic,Brass,330.42,1364,0,OP020,751.8014706
182.84,0.471,0.86,2.99,Ceramic,Aluminum,362.04,2358,0,OP002,111.6548438
185.16,0.073,0.81,1.72,Ceramic,Steel,419.76,1595,0,OP011,1194.485505
209.36,0.294,0.63,1.03,Ceramic,Aluminum,459.28,2544,0,OP002,435.5617198
231.52,0.369,1.15,0.74,Ceramic,Aluminum,444.65,1873,0,OP001,975.0531019
293.96,0.442,0.72,1.12,HSS,Aluminum,525.68,2824,1,OP002,427.5436328
179.08,0.371,0.47,1.18,Ceramic,Brass,137.98,2870,1,OP009,192.2600393
130.74,0.411,0.89,0.3,HSS,Brass,258.65,673,1,OP002,943.703163
248.8,0.203,0.49,1.17,HSS,Brass,570.24,1641,0,OP015,513.2920719
117.71,0.417,0.68,1.45,Ceramic,Steel,256.06,2024,1,OP010,132.3787315
159.74,0.086,0.81,2.2,Ceramic,Brass,101.18,1140,0,OP015,683.8763214
69.61,0.453,1.1,2,HSS,Steel,329.5,1518,0,OP010,84.51545254
