Layer thickness,Nozzle temp,Bed temp,Print speed,Material type,Model complexity,Print time,Printer type,Humidity,Cooling method,Defective
0.13,191,108,55,PETG,Medium,6.6,SLA,55,Fan,0
0.37,258,65,42,ABS,Medium,3.1,SLA,61,Passive,1
0.32,224,51,45,PETG,Medium,2.9,SLA,67,Fan,0
0.1,208,67,55,Nylon,Medium,4.8,SLS,22,Passive,0
0.35,242,51,38,ABS,Medium,8.9,SLA,23,Passive,0
0.19,238,98,81,Nylon,Medium,7.7,FDM,69,Fan,1
0.27,192,57,31,ABS,High,7.7,FDM,50,Fan,0
0.21,192,89,91,PLA,High,1.1,FDM,34,Passive,1
0.14,224,110,47,PLA,High,2.8,SLA,46,Active cooling,0
0.28,236,54,61,PLA,Low,5.8,SLA,54,Active cooling,0
0.33,193,84,31,ABS,High,6.7,FDM,21,Fan,0
0.29,224,83,76,PETG,Low,4.9,SLA,69,Active cooling,0
0.29,234,110,72,PLA,Low,1.7,FDM,48,Fan,0
0.15,224,78,47,PETG,Medium,8.7,FDM,50,Active cooling,0
0.38,218,105,79,PETG,Low,2.6,FDM,40,Active cooling,0
0.31,218,51,59,PETG,High,5.4,FDM,23,Active cooling,0
0.24,257,54,38,ABS,High,8.2,SLA,45,Passive,1
0.29,199,103,75,ABS,Medium,3.4,FDM,37,Active cooling,0
0.2,236,93,100,ABS,Medium,3.7,FDM,40,Passive,1
0.39,244,102,48,PLA,High,9.9,FDM,24,Active cooling,0
0.1,248,92,65,ABS,High,3.6,SLS,43,Active cooling,0
0.14,236,63,64,PETG,High,0.9,SLA,35,Passive,0
0.21,224,97,96,ABS,High,5.8,SLS,20,Active cooling,1
0.21,255,88,70,ABS,Medium,9.4,SLA,57,Passive,1
0.21,198,68,97,ABS,Low,6.5,FDM,55,Fan,1
0.3,217,90,72,Nylon,High,2.7,SLS,26,Passive,0
0.29,194,52,58,PLA,High,0.9,SLS,53,Active cooling,1
0.34,237,97,67,PETG,Low,5.3,FDM,40,Passive,0
0.3,196,108,66,ABS,Medium,5.9,SLA,43,Passive,0
0.28,211,54,63,ABS,Medium,2.7,SLA,49,Fan,0
0.33,194,95,50,ABS,Low,2.6,SLS,49,Active cooling,0
0.16,219,104,63,PETG,Low,3.7,SLS,23,Active cooling,0
0.23,202,105,43,PETG,High,4.5,FDM,37,Passive,0
0.24,209,99,99,ABS,Low,2.1,SLS,51,Fan,1
0.11,224,86,98,Nylon,Medium,5.7,SLA,32,Active cooling,1
0.16,220,75,100,PETG,High,8.4,SLA,53,Passive,1
0.28,227,109,83,Nylon,High,6.2,FDM,27,Active cooling,1
0.37,201,54,82,PETG,Low,7.5,FDM,58,Passive,1
0.17,215,75,57,PETG,Medium,2.2,SLA,40,Active cooling,0
0.13,254,61,68,PLA,Low,6.7,FDM,37,Fan,1
0.11,200,103,58,PETG,High,1.1,FDM,31,Active cooling,0
0.19,197,63,79,PLA,High,9.4,SLS,54,Passive,1
0.34,218,63,89,PETG,Medium,4.7,FDM,26,Active cooling,1
0.17,243,98,86,PLA,High,3.8,FDM,48,Fan,1
0.4,245,69,96,PETG,Low,2.4,SLA,41,Passive,1
0.18,247,97,48,PLA,Medium,6.9,SLS,20,Active cooling,0
0.14,239,89,99,Nylon,Medium,4.4,SLA,36,Active cooling,1
0.1,195,53,59,PETG,Medium,1.9,SLS,70,Active cooling,0
0.26,228,93,39,PETG,Medium,9.8,SLA,22,Passive,0
0.38,235,85,50,PLA,Low,6.2,SLS,67,Passive,0
0.34,241,61,54,Nylon,Medium,6.1,SLA,25,Passive,0
0.34,251,68,34,ABS,Medium,7.8,SLS,51,Passive,1
0.37,206,53,55,ABS,High,5.0,SLA,45,Fan,0
0.22,222,79,61,Nylon,Low,4.4,SLS,52,Active cooling,0
0.24,234,106,33,PLA,Medium,8.7,SLS,42,Fan,0
0.26,255,87,92,ABS,Medium,6.6,FDM,65,Fan,1
0.33,218,55,91,ABS,Medium,0.5,SLA,61,Fan,1
0.38,231,90,85,ABS,High,10.0,SLS,43,Passive,1
0.15,233,87,94,Nylon,Medium,5.7,FDM,64,Active cooling,1
0.17,192,80,41,Nylon,Medium,0.9,SLS,63,Passive,0
0.15,204,59,92,Nylon,Medium,6.5,SLA,40,Active cooling,1
0.22,244,61,71,Nylon,High,3.2,SLS,41,Fan,0
0.19,244,67,36,PETG,High,4.2,FDM,30,Fan,0
0.27,259,89,44,ABS,Low,5.3,SLS,48,Passive,1
0.13,207,77,42,ABS,High,3.3,SLA,23,Fan,0
0.13,253,77,91,Nylon,Low,6.5,SLS,41,Fan,1
0.2,201,97,40,Nylon,Medium,9.9,SLS,43,Passive,0
0.15,194,104,53,ABS,High,8.0,SLA,26,Passive,0
0.13,240,77,77,Nylon,Low,4.5,SLS,53,Fan,0
0.35,233,58,83,PLA,Medium,9.3,SLS,20,Passive,1
0.35,192,54,59,PLA,Low,9.6,SLS,24,Passive,0
0.35,248,97,54,PLA,Low,6.7,SLS,69,Passive,0
0.19,223,63,100,Nylon,High,4.1,FDM,24,Fan,1
0.27,227,51,87,PLA,Medium,2.1,SLA,20,Passive,1
0.23,196,69,52,PLA,Low,1.7,SLA,50,Active cooling,0
0.37,232,105,33,PLA,Low,9.9,SLS,34,Fan,0
0.35,197,96,37,PETG,Medium,5.9,FDM,60,Active cooling,0
0.17,208,86,73,PETG,Low,8.4,SLS,29,Active cooling,0
0.38,249,91,57,Nylon,Medium,6.2,SLA,70,Active cooling,0
0.2,213,71,85,ABS,High,2.6,SLA,32,Fan,1
0.22,239,84,84,ABS,High,4.7,FDM,36,Fan,1
0.12,249,53,78,Nylon,Low,5.9,SLS,21,Fan,0
0.19,213,76,80,PLA,Low,9.3,FDM,46,Passive,0
0.28,218,81,47,Nylon,High,3.0,SLA,52,Fan,1
0.17,239,95,33,PETG,High,7.8,FDM,29,Fan,0
0.26,211,52,93,Nylon,Medium,3.4,SLS,54,Active cooling,1
0.2,209,107,60,PETG,Low,4.0,FDM,61,Passive,0
0.32,194,89,40,PETG,Medium,1.0,SLS,46,Fan,0
0.27,211,76,74,PETG,High,7.3,FDM,42,Fan,0
0.4,239,75,46,PLA,Low,1.1,FDM,54,Active cooling,0
0.13,206,54,67,Nylon,Low,1.1,SLA,63,Passive,0
0.21,243,67,90,PLA,High,1.2,SLA,57,Active cooling,1
0.4,246,106,91,PETG,Low,8.1,SLS,33,Passive,1
0.35,203,52,61,PETG,Low,3.1,FDM,37,Active cooling,0
0.33,239,51,93,PETG,High,2.3,SLS,20,Active cooling,1
0.25,239,97,75,PLA,High,3.3,SLS,41,Fan,0
0.23,231,84,87,PLA,High,8.3,SLS,63,Fan,1
0.25,245,109,31,PETG,Low,9.1,SLS,62,Fan,0
0.27,235,110,82,Nylon,High,5.8,SLS,55,Fan,1
0.15,210,89,83,Nylon,Medium,2.3,FDM,23,Fan,1
0.15,248,87,59,PLA,Medium,8.0,FDM,27,Active cooling,0
0.14,214,53,56,Nylon,Medium,7.6,SLA,42,Active cooling,0
0.22,252,110,46,Nylon,High,4.8,SLA,36,Passive,1
0.16,247,101,84,PLA,High,4.0,SLS,45,Passive,1
0.39,204,77,43,PETG,High,4.9,SLS,42,Active cooling,0
0.18,258,94,78,PETG,High,7.7,SLA,21,Passive,1
0.34,221,67,35,ABS,Low,6.5,SLS,37,Passive,0
0.19,229,107,86,Nylon,High,0.6,SLA,42,Fan,1
0.3,232,87,40,ABS,Medium,7.6,FDM,36,Fan,0
0.38,228,75,63,PETG,Medium,3.7,SLA,68,Active cooling,0
0.12,236,80,60,PLA,Medium,7.6,SLA,55,Passive,0
0.36,255,90,56,PLA,Low,4.5,FDM,45,Fan,1
0.11,256,63,42,ABS,Medium,6.1,SLA,50,Active cooling,1
0.13,190,109,34,Nylon,High,4.7,SLS,62,Active cooling,1
0.37,191,58,31,PETG,Low,0.6,SLA,46,Active cooling,0
0.14,227,64,48,PETG,Medium,8.3,FDM,20,Fan,0
0.38,192,105,67,PLA,Medium,7.8,SLS,49,Active cooling,0
0.34,256,70,95,ABS,Low,0.9,SLS,49,Passive,1
0.29,217,60,76,PETG,Medium,0.7,SLS,59,Active cooling,0
0.26,204,62,82,PLA,Low,6.3,FDM,59,Passive,1
0.17,202,79,83,ABS,Low,2.1,SLS,54,Passive,1
0.3,245,50,96,PETG,High,5.3,FDM,52,Fan,1
0.17,199,85,93,PLA,Low,5.8,SLA,46,Passive,1
0.32,236,57,58,Nylon,Medium,2.1,FDM,43,Passive,0
0.12,253,68,91,PLA,Low,2.4,SLS,20,Fan,1
0.34,237,62,63,PLA,High,5.0,FDM,25,Fan,0
0.34,247,77,75,ABS,Medium,5.8,SLS,44,Passive,0
0.16,245,97,53,Nylon,High,3.7,SLA,58,Fan,1
0.21,230,79,60,PETG,High,4.0,FDM,55,Active cooling,1
0.28,215,63,74,Nylon,Medium,3.8,FDM,47,Fan,0
0.4,195,72,45,ABS,Medium,9.5,SLS,29,Active cooling,0
0.12,244,103,96,ABS,Low,7.9,SLA,32,Fan,1
0.15,250,103,41,PETG,Low,3.2,FDM,29,Active cooling,0
0.11,222,50,77,Nylon,Medium,6.5,SLA,40,Passive,0
0.25,204,76,44,PETG,High,4.8,SLA,52,Active cooling,1
0.32,241,63,43,PETG,Low,2.6,SLS,55,Fan,0
0.26,237,63,62,Nylon,High,9.5,SLA,63,Fan,1
0.38,218,60,38,PLA,Low,9.7,SLA,23,Active cooling,0
0.21,222,51,39,PETG,Low,1.7,SLA,26,Passive,0
0.15,202,101,87,ABS,Low,2.4,FDM,20,Active cooling,1
0.16,258,71,54,Nylon,Medium,6.7,SLA,64,Passive,1
0.32,243,50,99,PETG,Low,9.3,FDM,52,Fan,1
0.36,229,67,84,PLA,Low,3.2,SLS,25,Active cooling,1
0.27,202,65,73,ABS,Low,3.9,FDM,60,Fan,1
0.26,238,79,49,PLA,Low,9.2,SLA,28,Active cooling,0
0.39,199,80,99,Nylon,Low,1.0,SLS,36,Passive,1
0.31,208,104,88,ABS,High,6.5,FDM,68,Fan,1
0.17,192,96,33,PLA,Low,7.2,SLS,49,Active cooling,0
0.11,241,81,39,PETG,High,6.8,SLA,38,Fan,0
0.2,198,93,43,PLA,Low,8.8,SLS,58,Fan,0
0.28,193,63,74,Nylon,Medium,3.2,FDM,25,Passive,0
0.36,252,68,76,PLA,High,5.4,SLS,35,Passive,1
0.1,224,93,48,Nylon,Low,9.9,FDM,51,Passive,0
0.3,216,93,65,PETG,Low,5.5,FDM,51,Active cooling,0
0.38,198,58,58,PETG,High,6.6,SLA,59,Passive,1
0.14,210,104,70,PLA,Low,7.6,SLS,23,Fan,0
0.19,257,106,100,PLA,Low,4.4,FDM,44,Fan,1
0.21,251,105,77,Nylon,Low,1.7,SLS,36,Active cooling,1
0.23,230,93,76,PLA,High,6.1,SLA,35,Passive,0
0.12,246,103,53,ABS,Low,5.7,SLA,26,Active cooling,0
0.33,202,77,66,ABS,High,3.0,SLA,64,Passive,1
0.1,220,103,100,PETG,High,1.4,FDM,53,Passive,1
0.4,259,78,100,PETG,High,7.1,FDM,50,Passive,1
0.3,243,64,36,ABS,Low,9.2,SLA,27,Active cooling,0
0.13,231,76,86,ABS,Medium,0.9,SLA,21,Active cooling,1
0.31,195,74,77,PLA,Low,7.4,FDM,34,Fan,0
0.26,198,55,75,ABS,Low,2.1,SLA,70,Passive,1
0.18,219,50,94,Nylon,Low,2.5,SLA,36,Active cooling,1
0.36,194,99,41,ABS,High,6.8,SLS,70,Passive,1
0.15,249,108,55,PLA,Low,8.9,SLA,23,Fan,0
0.37,192,74,34,Nylon,High,7.8,FDM,45,Passive,0
0.11,255,55,39,PETG,Low,2.6,SLS,53,Active cooling,1
0.28,203,107,77,PLA,Medium,2.7,SLS,60,Fan,0
0.34,234,74,40,ABS,Low,8.0,SLS,52,Passive,0
0.3,242,109,79,Nylon,Low,0.7,SLS,37,Fan,0
0.31,232,59,100,ABS,Low,2.3,FDM,43,Fan,1
0.31,219,54,36,PETG,Low,7.2,SLA,25,Fan,0
0.22,234,56,87,PLA,Low,5.9,FDM,27,Active cooling,1
0.12,230,79,42,Nylon,High,6.0,FDM,22,Fan,0
0.38,237,104,61,PETG,Low,1.1,SLA,51,Fan,0
0.39,210,51,67,PETG,High,9.6,SLA,25,Passive,0
0.33,225,59,51,ABS,High,3.0,SLS,55,Passive,1
0.35,212,54,50,PLA,Low,6.0,SLS,61,Active cooling,0
0.14,214,64,97,ABS,High,5.4,SLS,42,Passive,1
0.31,258,75,36,Nylon,High,6.8,SLA,20,Fan,1
0.37,243,91,69,Nylon,Low,1.7,SLA,67,Active cooling,0
0.21,223,81,50,ABS,High,4.3,SLA,22,Passive,0
0.11,240,66,35,PLA,Medium,1.7,SLS,22,Fan,0
0.28,194,101,85,PETG,Low,0.7,FDM,31,Fan,1
0.17,260,84,82,Nylon,High,4.8,SLS,22,Active cooling,1
0.25,241,83,30,PETG,Low,0.7,SLA,39,Active cooling,0
0.31,241,89,86,Nylon,Medium,2.4,SLA,42,Fan,1
0.13,218,51,96,ABS,High,7.1,FDM,69,Passive,1
0.3,236,98,96,PETG,Low,4.1,SLS,41,Active cooling,1
0.12,245,60,81,PETG,Low,7.6,SLA,51,Active cooling,1
0.13,213,78,100,PETG,Medium,0.6,FDM,27,Passive,1
0.11,253,94,73,PLA,Medium,3.3,SLS,60,Fan,1
0.3,259,64,37,PLA,Medium,2.1,FDM,46,Passive,1
0.28,197,106,75,PLA,High,4.4,SLS,29,Fan,0
0.21,260,56,50,Nylon,High,3.6,FDM,50,Fan,1
0.15,242,64,73,Nylon,High,6.1,SLA,68,Passive,1
0.3,234,98,56,PETG,Medium,10.0,FDM,60,Passive,0
0.36,230,75,87,Nylon,High,1.8,FDM,49,Active cooling,1
0.22,210,64,92,PETG,Low,7.6,SLS,46,Passive,1
0.37,227,88,91,PLA,Low,4.3,SLA,31,Active cooling,1
0.29,251,94,66,ABS,Low,8.4,SLS,66,Passive,1
0.26,199,53,85,Nylon,Low,6.4,SLS,63,Active cooling,1
0.34,249,110,31,PLA,Medium,3.1,SLA,61,Fan,0
0.14,198,77,63,PLA,High,7.7,SLA,42,Fan,0
0.3,207,96,42,PLA,Medium,3.1,SLS,53,Fan,0
0.11,210,50,95,ABS,High,8.4,SLS,61,Fan,1
0.14,196,95,65,PLA,Low,5.5,FDM,21,Active cooling,0
0.34,193,59,78,PLA,High,1.5,SLS,23,Fan,0
0.37,194,99,94,PLA,High,3.7,SLA,31,Passive,1
0.31,254,80,71,ABS,Low,1.0,FDM,48,Passive,1
0.13,221,73,73,PLA,Low,4.5,SLA,59,Active cooling,0
0.26,209,89,70,ABS,High,4.8,SLA,61,Active cooling,1
0.21,213,99,32,PLA,Low,5.7,FDM,56,Fan,0
0.34,214,56,84,PLA,High,6.5,FDM,35,Passive,1
0.18,223,76,42,ABS,Low,8.2,SLS,39,Passive,0
0.27,196,82,43,Nylon,Low,2.3,SLA,69,Passive,0
0.16,205,90,36,PLA,Medium,8.6,FDM,46,Active cooling,0
0.33,235,85,67,PLA,Medium,4.6,FDM,61,Active cooling,0
0.17,203,91,36,PLA,High,4.0,SLS,47,Active cooling,0
0.24,257,71,40,Nylon,High,3.7,SLS,51,Fan,1
0.32,228,78,55,PETG,Low,5.1,SLS,59,Passive,0
0.13,194,100,63,ABS,High,3.5,FDM,51,Active cooling,1
0.23,220,98,43,ABS,Low,4.8,SLA,25,Active cooling,0
0.34,230,92,98,Nylon,Medium,7.2,SLS,59,Active cooling,1
0.2,222,67,45,PETG,High,7.8,SLS,31,Active cooling,0
0.38,207,86,39,ABS,Low,7.2,SLS,55,Active cooling,0
0.32,239,72,60,ABS,High,3.6,SLS,47,Passive,0
0.3,260,90,80,PETG,High,6.6,FDM,26,Active cooling,1
0.11,213,69,95,PETG,Medium,6.7,FDM,54,Fan,1
0.25,198,100,64,PLA,High,0.9,FDM,50,Active cooling,0
0.28,255,81,44,Nylon,Medium,1.7,SLS,22,Active cooling,1
0.23,228,67,39,PLA,Medium,7.0,SLS,66,Fan,0
0.19,195,65,77,ABS,Low,0.7,SLA,54,Passive,0
0.23,215,82,94,PETG,Medium,3.0,SLS,39,Fan,1
0.1,256,100,54,ABS,Low,6.1,SLS,69,Fan,1
0.34,191,96,31,ABS,Medium,9.5,SLS,45,Passive,0
0.13,237,81,38,Nylon,Medium,8.5,SLS,60,Fan,0
0.13,225,62,35,Nylon,Medium,7.6,SLS,39,Active cooling,0
0.22,258,66,78,Nylon,High,1.1,SLS,38,Active cooling,1
0.26,225,76,77,PETG,Medium,3.6,SLS,39,Active cooling,0
0.24,229,64,90,Nylon,High,1.2,SLS,28,Active cooling,1
0.36,218,65,45,ABS,High,3.2,FDM,53,Active cooling,1
0.37,235,105,55,ABS,Medium,3.1,SLS,22,Active cooling,0
0.19,222,64,74,Nylon,High,9.7,SLA,47,Passive,0
0.15,215,60,70,Nylon,Low,1.2,SLA,49,Passive,0
0.2,260,75,85,ABS,Low,9.5,SLS,47,Fan,1
0.34,218,107,65,PETG,Low,9.1,SLA,53,Passive,0
0.37,227,83,80,PLA,Medium,6.7,SLA,64,Active cooling,0
0.37,250,93,84,Nylon,Medium,3.4,FDM,51,Fan,1
0.13,234,68,65,PETG,High,8.4,FDM,59,Passive,1
0.28,212,99,73,Nylon,High,0.7,SLA,61,Fan,1
0.35,224,95,41,ABS,Low,0.6,SLS,33,Fan,0
0.18,236,89,52,ABS,Medium,4.1,FDM,52,Passive,0
0.35,216,71,47,PETG,Medium,7.5,SLA,60,Active cooling,0
0.2,200,78,94,Nylon,Low,6.5,SLS,23,Passive,1
0.19,254,52,59,Nylon,Low,6.8,SLS,37,Active cooling,1
0.32,191,50,45,ABS,High,9.2,SLS,68,Fan,1
0.13,190,53,32,ABS,High,4.9,FDM,51,Active cooling,1
0.22,215,87,43,PLA,High,3.5,SLA,38,Passive,0
0.39,235,54,88,PETG,High,9.9,SLS,44,Fan,1
0.12,219,90,33,ABS,Medium,1.2,FDM,30,Passive,0
0.17,203,70,38,ABS,Medium,7.2,SLA,57,Fan,1
0.25,201,68,88,ABS,Medium,2.2,SLA,52,Fan,1
0.16,258,71,82,Nylon,High,0.9,SLA,33,Passive,1
0.36,246,108,76,Nylon,Low,4.2,SLA,56,Passive,0
0.29,209,101,78,PLA,Medium,8.4,SLS,42,Passive,0
0.26,193,75,78,PETG,Low,6.4,SLS,30,Passive,0
0.36,194,54,79,PLA,Low,8.9,SLA,68,Passive,0
0.36,195,98,100,PETG,Low,0.5,FDM,21,Active cooling,1
0.37,247,95,77,Nylon,High,6.3,SLS,62,Fan,1
0.39,244,107,33,ABS,Medium,8.7,SLS,27,Passive,0
0.23,191,85,45,PLA,Low,9.3,SLS,44,Fan,0
0.28,224,90,34,Nylon,Low,4.2,SLA,25,Fan,0
0.4,240,107,43,PLA,Low,3.8,SLS,67,Passive,0
0.1,218,67,100,Nylon,High,5.4,SLA,66,Active cooling,1
0.17,197,62,49,Nylon,Medium,7.9,FDM,43,Passive,0
0.27,245,100,61,Nylon,Low,6.0,SLS,39,Active cooling,0
0.11,246,75,87,Nylon,Low,1.1,FDM,50,Active cooling,1
0.27,251,100,76,Nylon,Low,8.4,SLS,20,Passive,1
0.27,211,77,79,Nylon,Medium,3.3,SLA,66,Fan,0
0.3,191,60,94,PETG,Low,9.1,FDM,63,Fan,1
0.38,258,67,87,PLA,Medium,2.6,SLA,26,Active cooling,1
0.38,254,60,58,PETG,Medium,3.5,FDM,54,Active cooling,1
0.39,192,65,66,Nylon,Medium,4.3,SLA,30,Fan,0
0.34,222,93,96,ABS,High,7.4,SLA,50,Active cooling,1
0.24,258,95,45,ABS,Medium,2.7,FDM,59,Passive,1
0.39,257,78,72,ABS,Medium,3.0,SLA,49,Passive,1
0.12,231,90,50,Nylon,Low,7.9,FDM,21,Passive,0
0.38,214,78,69,PETG,Medium,3.1,SLS,46,Passive,0
0.21,217,107,62,PETG,Medium,6.4,SLA,44,Active cooling,0
0.28,220,102,55,ABS,High,8.2,FDM,35,Passive,0
0.31,236,108,40,ABS,Medium,7.5,SLS,42,Active cooling,0
0.24,213,78,41,Nylon,Low,8.3,SLS,70,Passive,0
0.37,229,63,34,PLA,High,5.3,SLS,60,Fan,1
0.18,239,54,40,ABS,High,4.1,SLA,46,Passive,0
0.12,209,106,93,PETG,High,9.8,SLS,34,Fan,1
0.1,214,55,63,PLA,Low,8.0,FDM,55,Fan,0
0.35,237,78,69,PETG,Low,1.0,FDM,41,Fan,0
0.31,239,75,49,PETG,Low,5.8,SLA,33,Active cooling,0
0.17,235,91,49,PLA,Medium,7.7,SLA,20,Passive,0
0.2,229,71,33,PETG,Low,5.0,FDM,51,Active cooling,0
0.12,245,96,51,PLA,Low,7.3,SLA,39,Active cooling,0
0.2,259,109,95,PLA,Medium,9.1,SLS,60,Active cooling,1
0.12,259,88,61,Nylon,Medium,8.6,FDM,64,Fan,1
0.16,214,53,39,PLA,Low,6.7,FDM,46,Passive,0
0.38,214,68,67,Nylon,High,7.5,SLS,28,Passive,0
0.11,241,71,81,ABS,Low,0.8,FDM,39,Fan,1
0.36,253,78,79,Nylon,Low,4.3,SLA,25,Active cooling,1
0.34,206,89,53,PLA,High,3.2,SLA,54,Active cooling,1
0.24,194,76,33,PLA,Low,4.7,SLS,64,Active cooling,0
0.33,255,74,57,ABS,High,7.0,FDM,70,Active cooling,1
0.33,246,100,54,Nylon,Medium,8.9,SLA,49,Fan,0
0.29,191,105,48,Nylon,Low,0.9,SLS,65,Fan,0
0.15,221,55,89,ABS,Medium,6.8,SLS,46,Fan,1
0.3,236,66,62,PETG,Low,7.6,SLA,34,Fan,0
0.12,194,73,68,Nylon,Medium,7.7,SLS,33,Active cooling,0
0.24,235,66,35,Nylon,High,3.6,SLA,23,Fan,0
0.24,222,91,72,PLA,High,2.0,FDM,69,Active cooling,1
0.17,235,60,64,Nylon,Low,7.0,SLS,54,Fan,0
0.13,221,76,98,ABS,Medium,2.8,SLA,45,Passive,1
0.39,238,94,76,ABS,Medium,9.3,SLS,55,Passive,0
0.31,250,97,66,PETG,Low,6.6,FDM,41,Passive,0
0.34,196,73,85,PETG,Medium,1.5,SLA,68,Passive,1
0.26,260,63,39,PETG,Medium,5.8,FDM,69,Active cooling,1
0.3,231,59,60,Nylon,Medium,6.1,FDM,49,Active cooling,0
0.1,231,105,80,ABS,High,4.2,FDM,68,Fan,1
0.16,223,72,36,Nylon,Low,7.8,SLS,62,Fan,0
0.11,216,79,84,PETG,High,5.5,SLA,41,Active cooling,1
0.34,236,101,35,PLA,High,3.9,FDM,47,Passive,0
0.13,256,85,42,PLA,Medium,1.1,FDM,25,Passive,1
0.21,223,89,72,PLA,Medium,5.0,SLS,63,Fan,0
0.21,191,97,34,PETG,High,8.4,SLS,25,Active cooling,0
0.3,245,98,61,PLA,Medium,4.8,SLS,44,Passive,0
0.1,201,91,42,ABS,High,9.8,SLS,30,Passive,0
0.31,235,60,73,PETG,Medium,1.6,SLA,59,Active cooling,0
0.15,251,94,52,Nylon,Low,7.6,SLA,56,Fan,1
0.22,198,85,69,Nylon,High,9.9,SLS,47,Fan,0
0.16,250,93,58,Nylon,Low,9.6,SLS,27,Active cooling,0
0.2,202,100,80,PLA,High,6.2,FDM,57,Passive,1
0.34,244,91,92,Nylon,Low,8.8,SLA,70,Passive,1
0.18,212,54,98,ABS,Medium,8.8,SLS,20,Fan,1
0.21,251,100,68,PETG,Low,3.3,FDM,25,Active cooling,1
0.31,252,81,31,PLA,Low,1.6,SLS,33,Active cooling,1
0.1,245,61,99,ABS,High,2.7,FDM,52,Active cooling,1
0.19,231,96,87,PETG,Low,2.0,FDM,44,Fan,1
0.23,223,75,35,Nylon,High,0.6,SLS,40,Active cooling,0
0.36,194,106,59,ABS,High,3.2,SLA,63,Fan,1
0.21,225,71,75,Nylon,High,5.5,FDM,57,Fan,1
0.1,259,109,81,Nylon,High,4.2,SLA,37,Fan,1
0.34,247,92,41,PLA,High,7.1,FDM,51,Active cooling,1
0.1,232,61,53,Nylon,High,8.5,SLS,54,Passive,1
0.2,223,82,95,ABS,Low,3.5,SLS,27,Fan,1
0.26,254,91,73,Nylon,High,1.7,FDM,50,Passive,1
0.37,227,110,84,ABS,High,8.3,SLA,51,Passive,1
0.16,232,78,90,PETG,High,1.6,FDM,45,Active cooling,1
0.24,243,91,76,ABS,High,8.6,SLA,50,Fan,0
0.17,229,99,32,ABS,High,5.2,SLA,49,Active cooling,0
0.32,210,65,79,PLA,Medium,4.2,SLS,69,Active cooling,0
0.28,231,64,53,Nylon,High,0.8,SLA,55,Fan,1
0.31,218,99,86,ABS,Low,9.7,SLA,20,Fan,1
0.3,234,53,55,PLA,Low,7.0,SLS,55,Passive,0
0.13,244,81,90,Nylon,Medium,1.5,FDM,46,Active cooling,1
0.1,242,86,81,PLA,Medium,4.4,SLA,52,Fan,1
0.14,219,73,64,PLA,High,9.9,SLS,65,Passive,1
0.1,241,91,67,PETG,Low,3.4,SLA,60,Passive,0
0.19,205,86,99,Nylon,Low,5.5,FDM,31,Active cooling,1
0.3,234,70,81,PLA,High,5.9,SLS,66,Fan,1
0.17,234,84,50,PLA,High,10.0,SLA,40,Passive,0
0.35,223,77,77,ABS,Medium,5.4,SLS,67,Active cooling,1
0.3,253,54,84,PLA,Low,1.8,SLS,47,Passive,1
0.13,225,72,31,ABS,Low,3.2,FDM,67,Fan,1
0.1,190,104,97,PLA,Medium,4.8,SLA,39,Active cooling,1
0.21,200,55,92,PLA,Low,1.2,SLA,39,Passive,1
